14,118,2,21
16,12,21,17
18,117,17,4
112,17,9,5
19,14,5,21
111,16,21,22
113,18,22,8
115,110,8,5
117,112,15,5
11,19,5,24
116,111,24,7
14,113,7,9
119,115,9,9
15,11,10,6
13,116,6,8
19,14,8,14
118,12,16,21
12,117,17,17
17,14,2,5
14,16,21,21
16,18,17,22
18,110,4,8
112,19,5,5
19,111,21,24
111,113,22,7
113,115,8,9
117,11,5,10
11,116,24,6
116,14,7,8
14,119,9,14
15,13,6,11
13,19,8,13
118,14,21,2
12,16,17,21
117,18,4,17
17,112,5,9
14,19,21,5
16,111,22,21
18,113,8,22
110,115,5,8
112,117,5,15
19,11,24,5
111,116,7,24
113,14,9,7
115,119,9,9
11,15,6,10
116,13,8,6
14,19,14,8
12,118,21,16
117,12,17,17
14,17,5,2
16,14,21,21
18,16,22,17
110,18,8,4
19,112,5,5
111,19,24,21
113,111,7,22
115,113,9,8
11,117,10,5
116,11,6,24
14,116,8,7
119,14,14,9
13,15,11,6
19,13,13,8
